node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	11.960014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.644070	16.234831	0.000000	8.303361	0.000000	0.000000	19.322454	4.383414	23.014166	0.000000	0.000000	0.000000	10.544580	1.707765	0.000000	0.000000	1.687085	1.813354	15.044002	0.000000	0.000000	11.332952	11.967802	0.000000	23.485355	1.474933	0.000000	0.000000	0.000000	0.000000	23.461872	0.000000	0.000000	21.216246	6.960092	0.000000	16.947035	0.000000	0.000000	0.000000	5.550236	0.000000	0.000000	0.000000	0.000000	0.823193	0.000000	0.000000	9.081153	18.091129
1	C	0.702008	0.000000	0.000000	0.000000	0.000000	1.843905	0.000000	4.176624	0.000000	0.000000	9.703434	0.000000	0.000000	0.000000	0.000000	6.786805	0.000000	1.074880	0.000000	0.000000	8.194604	0.000000	8.470416	0.000000	0.000000	1.894279	2.597770	0.000000	0.000000	0.000000	0.000000	2.305820	7.415670	0.000000	0.000000	5.392200	7.818352	0.570427	6.219058	7.320389	0.000000	0.000000	0.000000	0.000000	7.117433	0.000000	0.200515	11.562890	0.000000	0.427162	4.862595	0.000000	0.000000	0.000000	0.000000	4.848853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.746702
2	O	0.079353	0.000000	0.000000	0.000000	0.000000	0.018885	0.000000	1.702167	0.000000	0.471092	4.013104	0.000000	0.000000	0.000000	0.000000	3.002800	0.000000	2.311116	0.000000	0.000000	3.900301	0.000000	4.181061	0.000000	0.000000	0.817879	1.513317	0.000000	1.290808	0.000000	0.000000	0.000000	2.976858	0.000000	0.000000	0.844281	3.696055	0.373021	1.743640	3.596938	0.000000	0.000000	0.000000	0.000000	1.664840	0.000000	0.000000	3.084209	0.604312	0.000000	0.716344	0.000000	0.000000	0.000000	0.000000	1.632147	0.000000	0.112036	0.000000	0.000000	0.000000	0.000000	0.000000	2.987329
3	O	0.000000	0.000000	0.000000	0.000000	0.000000	1.043495	0.000000	0.285910	0.000000	1.185192	1.380017	0.000000	0.000000	0.000000	0.000000	0.811547	0.000000	1.581205	0.869363	0.000000	1.768087	0.000000	2.095899	0.000000	0.000000	0.124431	1.221378	1.308349	0.935508	0.000000	0.000000	0.000000	1.004692	0.000000	0.000000	0.043650	1.567230	0.687675	0.893256	0.878327	0.000000	0.000000	0.457098	0.000000	0.928315	0.000000	0.000000	0.320225	1.127463	0.000000	0.133383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.372253	0.000000	0.000000	0.000000	0.000000	0.150449	1.422032
4	H	4.801599	3.554739	0.000000	0.000000	0.000000	2.872761	1.212693	0.698117	0.000000	0.257570	7.807957	0.000000	0.000000	2.002154	1.438658	7.702403	0.000000	5.833543	0.000000	0.000000	6.438245	3.662770	11.153666	2.560471	0.000000	5.332670	2.509256	5.080923	0.000000	1.927143	3.663660	7.659482	9.308487	0.304574	0.000000	5.507294	5.530856	2.918332	10.710889	0.670061	1.392451	0.000000	0.000000	0.000000	12.208010	0.000000	2.372469	10.790038	0.000000	0.000000	14.304805	0.000000	0.000000	0.000000	9.069165	4.522600	0.000000	0.000000	3.697965	0.423976	4.065441	0.000000	0.000000	8.193337
5	H	4.718992	3.345155	0.000000	0.000000	0.000000	2.530207	0.864748	0.798144	0.000000	0.595734	7.899623	0.000000	0.000000	1.612212	1.147932	7.266544	0.000000	5.479920	0.000000	0.000000	6.138378	3.305701	10.565848	2.394510	0.000000	5.147597	2.264208	4.703906	0.000000	1.702399	3.423439	7.276428	9.032586	0.564141	0.000000	5.245095	5.475986	2.963709	9.906646	0.930953	1.371936	0.000000	0.000000	0.000000	11.386001	0.000000	2.398551	10.277105	0.000000	0.000000	13.355681	0.000000	0.000000	0.000000	8.399235	4.636549	0.000000	0.000000	3.408033	0.210082	3.871545	0.000000	0.000000	7.785806
6	H	4.574584	2.992287	0.000000	0.000000	0.000000	2.077683	0.368250	0.936413	0.000000	0.983548	7.996214	0.000000	0.000000	1.055508	0.751042	6.711408	0.000000	5.027834	0.000000	0.000000	5.821409	2.827426	9.828055	2.126057	0.000000	4.867246	1.985350	4.161737	0.000000	1.365003	3.092373	6.728656	8.714032	0.832525	0.000000	4.914306	5.467012	2.955249	8.862679	1.278498	1.318576	0.000000	0.000000	0.000000	10.317969	0.000000	2.412064	9.607020	0.000000	0.000000	12.073698	0.000000	0.000000	0.000000	7.455129	4.771807	0.000000	0.000000	3.002022	0.000000	3.574274	0.000000	0.000000	7.284155
7	H	1.067884	1.088000	0.000000	0.000000	0.000000	0.454683	0.000000	0.595601	0.000000	1.173221	3.207197	0.000000	0.000000	0.000000	0.000000	1.800529	0.000000	1.243699	0.000000	0.000000	2.091821	0.265116	2.637463	0.574737	0.000000	1.641516	0.277837	1.266411	0.768530	0.000000	0.879016	1.660595	3.147483	0.000000	0.000000	1.222675	2.339556	1.210335	2.360820	1.491730	0.000000	0.000000	0.000000	0.000000	2.712841	0.000000	1.049164	3.353586	0.000000	0.082614	3.081308	0.000000	0.000000	0.000000	0.612107	1.813400	0.000000	0.000000	0.366751	0.000000	0.673092	0.000000	0.000000	2.123662
8	H	1.028083	1.075334	0.000000	0.000000	0.000000	0.458697	0.000000	0.571057	0.000000	1.170876	3.126883	0.000000	0.000000	0.000000	0.000000	1.730727	0.000000	1.196982	0.000000	0.000000	2.019076	0.267105	2.547856	0.563453	0.000000	1.606622	0.249997	1.237049	0.781927	0.000000	0.856987	1.630490	3.060319	0.000000	0.000000	1.191843	2.275836	1.191011	2.299579	1.458980	0.000000	0.000000	0.012555	0.000000	2.630208	0.000000	1.043961	3.271974	0.000000	0.094315	3.010931	0.000000	0.000000	0.000000	0.576879	1.774329	0.000000	0.000000	0.350404	0.000000	0.656099	0.000000	0.000000	2.051567
