node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	19.883980	4.340720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.650548	12.608146	0.000000	0.000000	0.000000	0.000000	15.670386	15.783771	18.253523	0.000000	0.000000	0.000000	8.637062	3.291946	0.000000	0.000000	2.076906	5.023698	11.303700	0.000000	0.000000	16.513380	7.333467	0.000000	27.758791	0.000000	0.000000	0.000000	0.000000	0.000000	26.489326	0.000000	0.000000	25.189003	6.648790	0.000000	23.286009	0.000000	0.000000	0.000000	8.719833	0.000000	0.000000	0.000000	0.000000	2.490617	0.000000	0.000000	8.881482	14.201082
1	C	0.000000	0.000000	0.000000	0.000000	0.000000	10.121954	0.000000	0.000000	0.000000	0.000000	2.099280	0.000000	0.000000	0.000000	6.865010	6.735530	0.000000	0.000000	0.000000	0.000000	9.246127	9.345112	9.499688	0.000000	0.000000	0.000000	3.850574	0.000000	0.000000	0.000000	0.680965	4.145509	8.343249	0.000000	0.000000	11.590199	6.154138	0.000000	15.252970	1.238757	0.000000	0.000000	0.000000	0.000000	15.458402	0.000000	0.000000	17.953905	0.000000	0.000000	13.027403	0.000000	0.000000	0.000000	0.671388	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.667585	7.846080
2	C	0.511958	0.000000	0.000000	0.000000	0.000000	1.383900	0.000000	2.986855	0.000000	0.000000	6.974741	0.000000	0.000000	0.000000	0.000000	5.106630	0.000000	1.189087	0.000000	0.000000	6.213088	0.000000	6.496310	0.000000	0.000000	1.440402	2.036057	0.000000	0.000000	0.000000	0.000000	1.718545	5.719805	0.000000	0.000000	3.834070	5.886046	0.502020	4.878146	5.219379	0.000000	0.000000	0.000000	0.000000	5.518199	0.000000	0.145165	8.578665	0.000000	0.223154	3.884665	0.000000	0.000000	0.000000	0.000000	3.470649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.213256
3	H	3.591859	3.802022	0.000000	0.000000	0.000000	5.467067	3.234148	0.000000	0.000000	0.000000	4.985226	0.000000	0.000000	4.107517	2.804106	9.878794	0.000000	7.795360	0.000000	0.301732	8.550698	4.927554	14.216632	2.163252	0.000000	4.803203	4.565854	6.531040	0.000000	2.649022	4.119545	7.854338	9.733675	0.000000	0.000000	6.520389	5.545660	1.595883	14.718838	0.000000	0.690926	0.000000	0.000000	0.000000	15.840087	0.000000	1.183835	12.346391	0.000000	0.000000	17.667356	0.000000	0.000000	0.000000	11.829108	1.986665	0.000000	0.000000	4.045989	1.967708	3.781668	0.000000	2.536673	10.294340
4	H	3.557946	3.610002	0.000000	0.000000	0.000000	5.043801	2.916153	0.000000	0.000000	0.000000	5.031489	0.000000	0.000000	3.748356	2.466560	9.513455	0.000000	7.437851	0.000000	0.152156	8.228817	4.502912	13.632968	2.106103	0.000000	4.677516	4.330444	6.112600	0.000000	2.465827	3.914146	7.547903	9.400211	0.000000	0.000000	6.181500	5.474782	1.642919	13.906720	0.000000	0.723862	0.000000	0.000000	0.000000	15.024467	0.000000	1.218507	11.832247	0.000000	0.000000	16.731367	0.000000	0.000000	0.000000	11.062961	2.183419	0.000000	0.000000	3.886441	1.769483	3.639477	0.000000	2.248615	9.891936
5	H	2.749073	2.012805	0.000000	0.000000	0.000000	0.555846	0.000000	1.170802	0.000000	1.102335	5.710793	0.000000	0.000000	0.304935	0.000000	4.308321	0.000000	3.735302	0.000000	0.000000	4.224590	0.716925	6.375010	1.248245	0.000000	3.235327	1.160460	2.820008	0.011828	0.236849	2.020758	3.599519	6.381737	0.964701	0.000000	2.451524	4.188452	2.314546	5.167113	1.591835	0.406192	0.000000	0.000000	0.000000	6.155498	0.000000	1.740911	5.966438	0.000000	0.000000	6.766082	0.000000	0.000000	0.000000	3.915350	3.425964	0.000000	0.000000	1.527312	0.000000	2.083305	0.000000	0.000000	5.035100
6	H	0.758470	0.940845	0.000000	0.000000	0.000000	0.360202	0.000000	0.601164	0.000000	0.949453	2.610551	0.000000	0.000000	0.017293	0.000000	1.657186	0.000000	1.192098	0.000000	0.000000	1.882146	0.000000	2.413411	0.533328	0.000000	1.247404	0.446839	1.048378	0.747211	0.000000	0.595852	1.200527	2.553912	0.000000	0.000000	0.908303	2.052372	1.002316	1.900057	1.454372	0.000000	0.000000	0.213177	0.000000	2.202998	0.000000	0.646221	2.747114	0.000000	0.011520	2.352510	0.000000	0.000000	0.000000	0.258739	1.430560	0.000000	0.000000	0.203162	0.000000	0.407121	0.000000	0.000000	1.848998
7	H	0.713372	0.925704	0.000000	0.000000	0.000000	0.366262	0.000000	0.573810	0.000000	0.943877	2.521153	0.000000	0.000000	0.031545	0.000000	1.575778	0.000000	1.131873	0.000000	0.000000	1.797769	0.000000	2.306222	0.518824	0.000000	1.207014	0.412811	1.014039	0.761275	0.000000	0.569933	1.167652	2.453040	0.000000	0.000000	0.875526	1.978132	0.978267	1.830460	1.417095	0.000000	0.000000	0.234606	0.000000	2.109448	0.000000	0.640827	2.657831	0.000000	0.025695	2.272629	0.000000	0.000000	0.000000	0.216188	1.385708	0.000000	0.000000	0.185353	0.000000	0.386250	0.000000	0.000000	1.765509
